משנת דיגום 2012 קבוצת פרמטרים: מתכות;אורגנים תעשייה;חומרי הדברה;דלקים;כלוריד ניטרט,,,,,,,,,
זיהוי,שם,תא דיווח,שימוש,פרמטר,סוג תקן מי שתייה,ערך תקן,תאריך דיגום אחרון,ריכוז אחרון,אחוז מתקן מי השתיה
617203,מק מרזבה 9,752,חברת מקורות,NO3,תקן ישראלי מותר,70,25/12/2017,13.2,18.9
617203,מק מרזבה 9,752,חברת מקורות,PB,תקן ישראלי מותר,10,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,TECE,תקן ישראלי מותר,10,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,23/11/2015,0,0
917001,מק עין יהב 6,712,חברת מקורות,Cl,תקן ישראלי מותר,400,18/12/2017,665.45,166.4
917001,מק עין יהב 6,712,חברת מקורות,NO3,תקן ישראלי מותר,70,18/12/2017,1,1.4
917002,מק עין יהב 116,752,חברת מקורות,Cl,תקן ישראלי מותר,400,18/12/2017,383.64,95.9
917002,מק עין יהב 116,752,חברת מקורות,NO3,תקן ישראלי מותר,70,18/12/2017,1,1.4
917003,מק עין יהב 16,730,חברת מקורות,Cl,תקן ישראלי מותר,400,18/12/2017,688.64,172.2
917003,מק עין יהב 16,730,חברת מקורות,NO3,תקן ישראלי מותר,70,18/12/2017,1,1.4
917203,מק  עין יהב 117,752,חברת מקורות,Cl,תקן ישראלי מותר,400,27/12/2016,458.7,114.7
917203,מק  עין יהב 117,752,חברת מקורות,NO3,תקן ישראלי מותר,70,27/12/2016,0.1,0.1
917204,מק עין יהב 17,730,חברת מקורות,Cl,תקן ישראלי מותר,400,18/12/2017,668.75,167.2
917204,מק עין יהב 17,730,חברת מקורות,NO3,תקן ישראלי מותר,70,18/12/2017,1,1.4
1117501,מק נחל שיזף 2,752,חברת מקורות,Cl,תקן ישראלי מותר,400,20/12/2017,373.15,93.3
1117501,מק נחל שיזף 2,752,חברת מקורות,NO3,תקן ישראלי מותר,70,20/12/2017,1,1.4
1117502,מק נחל שיזף 2 א,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,Cl,תקן ישראלי מותר,400,25/12/2016,429.4,107.4
1117502,מק נחל שיזף 2 א,752,חברת מקורות,DCET,תקן ישראלי מותר,4,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,LIND,תקן ישראלי מותר,1,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,NO3,תקן ישראלי מותר,70,25/12/2016,24.6,35.1
1117502,מק נחל שיזף 2 א,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,TECE,תקן ישראלי מותר,10,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,09/08/2016,0,0
1117502,מק נחל שיזף 2 א,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,09/08/2016,0,0
1117503,מק שיזף 5,752,חברת מקורות,Cl,תקן ישראלי מותר,400,09/10/2013,805,201.3
1117503,מק שיזף 5,752,חברת מקורות,NO3,תקן ישראלי מותר,70,09/10/2013,198,282.9
1217502,מק שיזף 1 א,752,חברת מקורות,AS,תקן ישראלי מותר,10,11/02/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,CD,תקן ישראלי מותר,5,11/02/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,Cl,תקן ישראלי מותר,400,08/05/2017,840.26,210.1
1217502,מק שיזף 1 א,752,חברת מקורות,CR,תקן ישראלי מותר,50,11/02/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,DCET,תקן ישראלי מותר,4,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,LIND,תקן ישראלי מותר,1,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,NI,תקן ישראלי מותר,20,11/02/2014,4,20
1217502,מק שיזף 1 א,752,חברת מקורות,NO3,תקן ישראלי מותר,70,13/08/2017,92,131.4
1217502,מק שיזף 1 א,752,חברת מקורות,PB,תקן ישראלי מותר,10,11/02/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,TECE,תקן ישראלי מותר,10,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,16/11/2014,0,0
1217502,מק שיזף 1 א,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,16/11/2014,0,0
1417502,מק שיזף 4א,752,חברת מקורות,AS,תקן ישראלי מותר,10,12/01/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,CD,תקן ישראלי מותר,5,12/01/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,25/10/2016,0,0
